Ticker,Name,Sector,Exchange
RYAAY,Ryanair Holdings PLC,Unknown,NASDAQ
IONS,"Ionis Pharmaceuticals, Inc.",Unknown,NASDAQ
MDGL,"Madrigal Pharmaceuticals, Inc.",Unknown,NASDAQ
MEDP,"Medpace Holdings, Inc.",Unknown,NASDAQ
CHRW,"C.H. Robinson Worldwide, Inc.",Unknown,NASDAQ
NTNX,"Nutanix, Inc.",Unknown,NASDAQ
TTD,"Trade Desk, Inc. (The)",Unknown,NASDAQ
OKTA,"Okta, Inc.",Unknown,NASDAQ
ARGX,argenx SE,Unknown,NASDAQ
MDB,"MongoDB, Inc.",Unknown,NASDAQ
WYNN,"Wynn Resorts, Ltd.",Unknown,NASDAQ
CHKP,Check Point Software Technologies Ltd.,Unknown,NASDAQ
FLEX,Flex Ltd.,Unknown,NASDAQ
ZBRA,Zebra Technologies Corp.,Unknown,NASDAQ
DOCU,"DocuSign, Inc.",Unknown,NASDAQ
EVRG,"Evergy, Inc.",Unknown,NASDAQ
HTHT,H World Group Ltd.,Unknown,NASDAQ
GH,"Guardant Health, Inc.",Unknown,NASDAQ
CASY,"Casey's General Stores, Inc.",Unknown,NASDAQ
FOX,Fox Corp.,Unknown,NASDAQ
FOXA,Fox Corp.,Unknown,NASDAQ
ZM,"Zoom Communications, Inc.",Unknown,NASDAQ
ILMN,"Illumina, Inc.",Unknown,NASDAQ
RGLD,"Royal Gold, Inc.",Unknown,NASDAQ
BBIO,"BridgeBio Pharma, Inc.",Unknown,NASDAQ
PODD,Insulet Corp.,Unknown,NASDAQ
BNTX,BioNTech SE,Unknown,NASDAQ
GEN,Gen Digital Inc.,Unknown,NASDAQ
TCOM,Trip.com Group Ltd.,Unknown,NASDAQ
RVMD,"Revolution Medicines, Inc.",Unknown,NASDAQ
AGPXX,Invesco Government &amp; Agency Portfolio,Unknown,NASDAQ
LNT,Alliant Energy Corp.,Unknown,NASDAQ
LECO,"Lincoln Electric Holdings, Inc.",Unknown,NASDAQ
AKAM,"Akamai Technologies, Inc.",Unknown,NASDAQ
RPRX,Royalty Pharma PLC,Unknown,NASDAQ
SNY,Sanofi,Unknown,NASDAQ
KMB,Kimberly-Clark Corp.,Unknown,NASDAQ
FFIV,"F5, Inc.",Unknown,NASDAQ
AFRM,Affirm Holdings Inc.,Unknown,NASDAQ
NDSN,Nordson Corp.,Unknown,NASDAQ
STLD,"Steel Dynamics, Inc.",Unknown,NASDAQ
EXE,Expand Energy Corp.,Unknown,NASDAQ
ASTS,"AST SpaceMobile, Inc.",Unknown,NASDAQ
UTHR,United Therapeutics Corp.,Unknown,NASDAQ
TER,"Teradyne, Inc.",Unknown,NASDAQ
SMMT,Summit Therapeutics Inc.,Unknown,NASDAQ
TRMB,Trimble Inc.,Unknown,NASDAQ
ROIV,Roivant Sciences Ltd.,Unknown,NASDAQ
GFS,GLOBALFOUNDRIES Inc.,Unknown,NASDAQ
RIVN,"Rivian Automotive, Inc.",Unknown,NASDAQ
GRAB,Grab Holdings Ltd.,Unknown,NASDAQ
IREN,IREN Ltd.,Unknown,NASDAQ
SSNC,"SS&amp;C Technologies Holdings, Inc.",Unknown,NASDAQ
CRDO,Credo Technology Group Holding Ltd.,Unknown,NASDAQ
DKNG,DraftKings Inc.,Unknown,NASDAQ
KTOS,"Kratos Defense &amp; Security Solutions, Inc.",Unknown,NASDAQ
EBAY,eBay Inc.,Unknown,NASDAQ
FTAI,FTAI Aviation Ltd.,Unknown,NASDAQ
NXT,Nextpower Inc.,Unknown,NASDAQ
FWONA,Liberty Media Corp.-Liberty Formula One,Unknown,NASDAQ
FWONK,Liberty Media Corp.-Liberty Formula One,Unknown,NASDAQ
TLN,Talen Energy Corp.,Unknown,NASDAQ
BIDU,"Baidu, Inc.",Unknown,NASDAQ
NBIS,Nebius Group N.V.,Unknown,NASDAQ
COO,"Cooper Cos., Inc. (The)",Unknown,NASDAQ
ALAB,"Astera Labs, Inc.",Unknown,NASDAQ
TEM,"Tempus AI, Inc.",Unknown,NASDAQ
EXPE,"Expedia Group, Inc.",Unknown,NASDAQ
SMCI,"Super Micro Computer, Inc.",Unknown,NASDAQ
SNDK,Sandisk Corp.,Unknown,NASDAQ
MTSI,"MACOM Technology Solutions Holdings, Inc.",Unknown,NASDAQ
BIIB,Biogen Inc.,Unknown,NASDAQ
HO1,"Hologic, Inc.",Unknown,NASDAQ
CRWV,"CoreWeave, Inc.",Unknown,NASDAQ
PSKY,Paramount Skydance Corp.,Unknown,NASDAQ
LOGI,Logitech International S.A.,Unknown,NASDAQ
LLYVA,"Liberty Live Holdings, Inc.",Unknown,NASDAQ
LLYVK,"Liberty Live Holdings, Inc.",Unknown,NASDAQ
PTC,PTC Inc.,Unknown,NASDAQ
ICLR,Icon PLC,Unknown,NASDAQ
FISV,"Fiserv, Inc.",Unknown,NASDAQ
JBHT,"J.B. Hunt Transport Services, Inc.",Unknown,NASDAQ
ON,ON Semiconductor Corp.,Unknown,NASDAQ
FSLR,"First Solar, Inc.",Unknown,NASDAQ
NWSA,News Corp.,Unknown,NASDAQ
CDW,CDW Corp.,Unknown,NASDAQ
NWS,News Corp.,Unknown,NASDAQ
VRSN,"VeriSign, Inc.",Unknown,NASDAQ
INCY,Incyte Corp.,Unknown,NASDAQ
NTAP,"NetApp, Inc.",Unknown,NASDAQ
NBIX,"Neurocrine Biosciences, Inc.",Unknown,NASDAQ
DLTR,"Dollar Tree, Inc.",Unknown,NASDAQ
AVAV,"AeroVironment, Inc.",Unknown,NASDAQ
UAL,"United Airlines Holdings, Inc.",Unknown,NASDAQ
DPZ,"Domino's Pizza, Inc.",Unknown,NASDAQ
JD,"JD.com, Inc.",Unknown,NASDAQ
WWD,"Woodward, Inc.",Unknown,NASDAQ
TSCO,Tractor Supply Co.,Unknown,NASDAQ
ASND,Ascendis Pharma A/S,Unknown,NASDAQ
ZG,"Zillow Group, Inc.",Unknown,NASDAQ
ESLT,Elbit Systems Ltd.,Unknown,NASDAQ
LULU,Lululemon Athletica Inc.,Unknown,NASDAQ
NTRA,"Natera, Inc.",Unknown,NASDAQ
LITE,Lumentum Holdings Inc.,Unknown,NASDAQ
